Subject,Age,Year,Sex,Session,Task,Scorer,Scores,Mean_Perspiration
8,22,1,1,1,Cutting,Scorer2,21,NA
8,22,1,1,2,Cutting,Scorer2,20,-0.002510187
8,22,1,1,3,Cutting,Scorer2,25,-0.002167739
8,22,1,1,4,Cutting,Scorer2,25,0.000215657
8,22,1,1,5,Cutting,Scorer2,25,-0.000212902
10,24,2,1,1,Cutting,Scorer2,13,-0.001006518
10,24,2,1,2,Cutting,Scorer2,17,NA
10,24,2,1,3,Cutting,Scorer2,19,0.00131314
10,24,2,1,4,Cutting,Scorer2,24,0.000375303
10,24,2,1,5,Cutting,Scorer2,21,NA
11,22,1,1,1,Cutting,Scorer2,10,-0.001372228
11,22,1,1,2,Cutting,Scorer2,12,-0.001854004
11,22,1,1,3,Cutting,Scorer2,14,0.002746713
11,22,1,1,4,Cutting,Scorer2,19,0.002357718
11,22,1,1,5,Cutting,Scorer2,16,0.001173404
12,23,1,1,1,Cutting,Scorer2,16,9.95E-05
12,23,1,1,2,Cutting,Scorer2,20,0.001263367
12,23,1,1,3,Cutting,Scorer2,25,0.002280952
12,23,1,1,4,Cutting,Scorer2,25,0.002655464
12,23,1,1,5,Cutting,Scorer2,24,0.003040255
13,22,1,1,1,Cutting,Scorer2,19,0.000337011
13,22,1,1,2,Cutting,Scorer2,20,-0.000357259
13,22,1,1,3,Cutting,Scorer2,23,3.00E-05
13,22,1,1,4,Cutting,Scorer2,22,-0.000667841
13,22,1,1,5,Cutting,Scorer2,25,-0.000922061
19,23,1,2,1,Cutting,Scorer2,20,NA
19,23,1,2,2,Cutting,Scorer2,24,0.000708714
19,23,1,2,3,Cutting,Scorer2,26,0.000513184
19,23,1,2,4,Cutting,Scorer2,27,0.000912617
19,23,1,2,5,Cutting,Scorer2,28,0.001504098
21,22,1,2,1,Cutting,Scorer2,18,0.000770346
21,22,1,2,2,Cutting,Scorer2,21,-0.000216196
21,22,1,2,3,Cutting,Scorer2,24,-0.000568409
21,22,1,2,4,Cutting,Scorer2,22,0.000867734
21,22,1,2,5,Cutting,Scorer2,26,0.002958445
22,26,2,2,1,Cutting,Scorer2,14,0.001730125
22,26,2,2,2,Cutting,Scorer2,21,0.002196792
22,26,2,2,3,Cutting,Scorer2,24,0.001265183
22,26,2,2,4,Cutting,Scorer2,25,0.000509536
22,26,2,2,5,Cutting,Scorer2,24,-5.38E-06
24,25,3,2,1,Cutting,Scorer2,14,-0.002541608
24,25,3,2,2,Cutting,Scorer2,23,-0.001528961
24,25,3,2,3,Cutting,Scorer2,23,0.001050479
24,25,3,2,4,Cutting,Scorer2,29,0.001740522
24,25,3,2,5,Cutting,Scorer2,24,0.000850373
26,22,1,2,1,Cutting,Scorer2,12,-0.000638905
26,22,1,2,2,Cutting,Scorer2,25,9.25E-05
26,22,1,2,3,Cutting,Scorer2,22,0.00056395
26,22,1,2,4,Cutting,Scorer2,24,-0.000409321
26,22,1,2,5,Cutting,Scorer2,25,0.000781028
1,22,1,1,1,Suturing,Scorer2,15,0.00041444
1,22,1,1,2,Suturing,Scorer2,13,0.00085854
1,22,1,1,3,Suturing,Scorer2,17,0.000185969
1,22,1,1,4,Suturing,Scorer2,18,NA
1,22,1,1,5,Suturing,Scorer2,23,NA
2,23,1,1,1,Suturing,Scorer2,17,-0.005634191
2,23,1,1,2,Suturing,Scorer2,19,-0.004840203
2,23,1,1,3,Suturing,Scorer2,14,0.000272413
2,23,1,1,4,Suturing,Scorer2,21,-0.000696164
2,23,1,1,5,Suturing,Scorer2,22,-0.00081158
3,23,1,1,1,Suturing,Scorer2,17,-0.001502171
3,23,1,1,2,Suturing,Scorer2,22,NA
3,23,1,1,3,Suturing,Scorer2,23,0.001176573
3,23,1,1,4,Suturing,Scorer2,25,0.002526015
3,23,1,1,5,Suturing,Scorer2,24,-0.000217822
4,23,1,1,1,Suturing,Scorer2,11,0.000990617
4,23,1,1,2,Suturing,Scorer2,17,5.95E-05
4,23,1,1,3,Suturing,Scorer2,22,-0.001289909
4,23,1,1,4,Suturing,Scorer2,24,0.000241088
4,23,1,1,5,Suturing,Scorer2,19,0.000567027
7,25,3,1,1,Suturing,Scorer2,23,-8.62E-05
7,25,3,1,2,Suturing,Scorer2,25,-4.48E-06
7,25,3,1,3,Suturing,Scorer2,24,0.016190243
7,25,3,1,4,Suturing,Scorer2,28,-0.000497204
7,25,3,1,5,Suturing,Scorer2,23,0.000846084
8,22,1,1,1,Suturing,Scorer2,10,NA
8,22,1,1,2,Suturing,Scorer2,20,-0.002098909
8,22,1,1,3,Suturing,Scorer2,26,-0.000871458
8,22,1,1,4,Suturing,Scorer2,29,0.000212254
8,22,1,1,5,Suturing,Scorer2,25,-0.000955869
10,24,2,1,1,Suturing,Scorer2,13,-0.000388136
10,24,2,1,2,Suturing,Scorer2,14,NA
10,24,2,1,3,Suturing,Scorer2,18,0.000674917
10,24,2,1,4,Suturing,Scorer2,19,0.000794676
10,24,2,1,5,Suturing,Scorer2,21,NA
11,22,1,1,1,Suturing,Scorer2,17,-0.000564729
11,22,1,1,2,Suturing,Scorer2,21,-0.001358432
11,22,1,1,3,Suturing,Scorer2,23,0.001632317
11,22,1,1,4,Suturing,Scorer2,22,0.000992751
11,22,1,1,5,Suturing,Scorer2,16,0.001036241
12,23,1,1,1,Suturing,Scorer2,10,0.000647747
12,23,1,1,2,Suturing,Scorer2,16,0.000581202
12,23,1,1,3,Suturing,Scorer2,20,0.002340688
12,23,1,1,4,Suturing,Scorer2,22,0.002211148
12,23,1,1,5,Suturing,Scorer2,24,0.001114447
13,22,1,1,1,Suturing,Scorer2,15,0.000380757
13,22,1,1,2,Suturing,Scorer2,15,0.000228226
13,22,1,1,3,Suturing,Scorer2,19,-0.000383011
13,22,1,1,4,Suturing,Scorer2,18,-0.000206637
13,22,1,1,5,Suturing,Scorer2,25,2.96E-05
19,23,1,2,1,Suturing,Scorer2,16,NA
19,23,1,2,2,Suturing,Scorer2,24,-0.000614011
19,23,1,2,3,Suturing,Scorer2,27,-0.000869574
19,23,1,2,4,Suturing,Scorer2,24,0.001520901
19,23,1,2,5,Suturing,Scorer2,28,0.001417039
21,22,1,2,1,Suturing,Scorer2,17,0.000933202
21,22,1,2,2,Suturing,Scorer2,19,-0.001159026
21,22,1,2,3,Suturing,Scorer2,16,0.001956897
21,22,1,2,4,Suturing,Scorer2,23,0.004036705
21,22,1,2,5,Suturing,Scorer2,26,0.005111483
22,26,2,2,1,Suturing,Scorer2,12,0.00376329
