"","X.1","X","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration","Normalised_Data","Time"
"105",105,105,8,22,1,1,5,"Suturing",27,25,-0.000955868895801788,0.00509989700809504,18.05
"106",106,106,10,24,2,1,1,"Suturing",10,13,-0.000388135735235016,0.00566763016866181,20
"107",107,107,10,24,2,1,2,"Suturing",12,14,NA,NA,20
"108",108,108,10,24,2,1,3,"Suturing",13,18,0.000674917372018897,0.00673068327591573,20
"109",109,109,10,24,2,1,4,"Suturing",14,19,0.000794675826135427,0.00685044173003226,18.35
"110",110,110,10,24,2,1,5,"Suturing",15,21,NA,NA,14.1
"111",111,111,11,22,1,1,1,"Suturing",14,17,-0.00056472881287915,0.00549103709101768,20
"112",112,112,11,22,1,1,2,"Suturing",17,21,-0.00135843212571452,0.00469733377818231,20
"113",113,113,11,22,1,1,3,"Suturing",18,23,0.00163231725980294,0.00768808316369977,19.59
"114",114,114,11,22,1,1,4,"Suturing",20,22,0.000992750510212864,0.00704851641410969,20
"115",115,115,11,22,1,1,5,"Suturing",23,16,0.00103624134896252,0.00709200725285935,19
"116",116,116,12,23,1,1,1,"Suturing",11,10,0.000647747358345596,0.00670351326224243,20
"117",117,117,12,23,1,1,2,"Suturing",15,16,0.000581202154583005,0.00663696805847983,20
"118",118,118,12,23,1,1,3,"Suturing",18,20,0.00234068771180792,0.00839645361570475,20
"119",119,119,12,23,1,1,4,"Suturing",20,22,0.00221114752009552,0.00826691342399235,19.45
"120",120,120,12,23,1,1,5,"Suturing",24,24,0.00111444701834295,0.00717021292223978,20
"121",121,121,13,22,1,1,1,"Suturing",13,15,0.000380757168957882,0.00643652307285471,20
"122",122,122,13,22,1,1,2,"Suturing",16,15,0.000228225788558077,0.00628399169245491,20
"123",123,123,13,22,1,1,3,"Suturing",19,19,-0.000383011238074821,0.00567275466582201,20
"124",124,124,13,22,1,1,4,"Suturing",17,18,-0.000206636568392314,0.00584912933550452,20
"125",125,125,13,22,1,1,5,"Suturing",19,25,0.0000295511208527645,0.00608531702474959,20
"126",126,126,19,23,1,2,1,"Suturing",12,16,NA,NA,20
"127",127,127,19,23,1,2,2,"Suturing",22,24,-0.000614011021083215,0.00544175488281361,17.5
"128",128,128,19,23,1,2,3,"Suturing",23,27,-0.000869574073792945,0.00518619183010388,14.3
"129",129,129,19,23,1,2,4,"Suturing",25,24,0.00152090061557975,0.00757666651947658,12.1
"130",130,130,19,23,1,2,5,"Suturing",27,28,0.00141703924610908,0.00747280515000591,12.55
"131",131,131,21,22,1,2,1,"Suturing",13,17,0.000933202418559084,0.00698896832245591,20
"132",132,132,21,22,1,2,2,"Suturing",17,19,-0.00115902633738181,0.00489673956651502,20
"133",133,133,21,22,1,2,3,"Suturing",18,16,0.00195689663827024,0.00801266254216707,20
"134",134,134,21,22,1,2,4,"Suturing",24,23,0.00403670522906086,0.0100924711329577,20
"135",135,135,21,22,1,2,5,"Suturing",25,26,0.00511148287782898,0.0111672487817258,18.35
"136",136,136,22,26,2,2,1,"Suturing",16,12,0.00376328961395559,0.00981905551785242,20
"137",137,137,22,26,2,2,2,"Suturing",23,22,0.00294034864662983,0.00899611455052666,19.55
"138",138,138,22,26,2,2,3,"Suturing",23,26,0.00111899050843763,0.00717475641233446,19.15
"139",139,139,22,26,2,2,4,"Suturing",24,24,0.00109577817180226,0.00715154407569909,19.55
"140",140,140,22,26,2,2,5,"Suturing",26,24,0.000767989086820872,0.0068237549907177,19.2
"141",141,141,24,25,3,2,1,"Suturing",21,20,-0.00253885673617487,0.00351690916772196,19.15
"142",142,142,24,25,3,2,2,"Suturing",22,22,-0.00186539090713357,0.00419037499676326,19.5
"143",143,143,24,25,3,2,3,"Suturing",24,22,0.00152684769287857,0.0075826135967754,18.1
"144",144,144,24,25,3,2,4,"Suturing",23,22,0.00264186980895968,0.00869763571285651,19.55
"145",145,145,24,25,3,2,5,"Suturing",23,24,0.0000793637958563086,0.00613512969975314,19.4
"146",146,146,26,22,1,2,1,"Suturing",15,15,-0.000367012355839296,0.00568875354805753,20
"147",147,147,26,22,1,2,2,"Suturing",24,25,0.000613240911103844,0.00666900681500067,18.05
"148",148,148,26,22,1,2,3,"Suturing",23,25,0.000512593242124844,0.00656835914602167,19.45
"149",149,149,26,22,1,2,4,"Suturing",25,20,-0.00011462446238117,0.00594114144151566,14.25
"150",150,150,26,22,1,2,5,"Suturing",27,25,0.000697178290946069,0.0067529441948429,12.35
