"","Subject","Age","Year","Sex","Session","Task","Score1","Score2","Mean_Perspiration"
"106",19,23,1,"2",3,"Suturing",23,27,-0.000869574073792945
"108",19,23,1,"2",4,"Suturing",25,24,0.00152090061557975
"110",19,23,1,"2",5,"Suturing",27,28,0.00141703924610908
"112",21,22,1,"2",1,"Suturing",13,17,0.000933202418559084
"114",21,22,1,"2",2,"Suturing",17,19,-0.00115902633738181
"116",21,22,1,"2",3,"Suturing",18,16,0.00195689663827024
"118",21,22,1,"2",4,"Suturing",24,23,0.00403670522906086
"120",21,22,1,"2",5,"Suturing",25,26,0.00511148287782898
"122",22,26,2,"2",1,"Suturing",16,12,0.00376328961395559
"124",22,26,2,"2",2,"Suturing",23,22,0.00294034864662983
"126",22,26,2,"2",3,"Suturing",23,26,0.00111899050843763
"128",22,26,2,"2",4,"Suturing",24,24,0.00109577817180226
"130",22,26,2,"2",5,"Suturing",26,24,0.000767989086820872
"132",24,25,3,"2",1,"Suturing",21,20,-0.00253885673617487
"134",24,25,3,"2",2,"Suturing",22,22,-0.00186539090713357
"136",24,25,3,"2",3,"Suturing",24,22,0.00152684769287857
"138",24,25,3,"2",4,"Suturing",23,22,0.00264186980895968
"140",24,25,3,"2",5,"Suturing",23,24,7.93637958563086e-05
"142",26,22,1,"2",1,"Suturing",15,15,-0.000367012355839296
"144",26,22,1,"2",2,"Suturing",24,25,0.000613240911103844
"146",26,22,1,"2",3,"Suturing",23,25,0.000512593242124844
"148",26,22,1,"2",4,"Suturing",25,20,-0.00011462446238117
"150",26,22,1,"2",5,"Suturing",27,25,0.000697178290946069
