"","Subject","Age","Year","Sex","Session","Scorer","Scores","Mean_Perspiration"
"137",22,26,2,"2",2,"Scorer2",21,0.00219679231007232
"138",22,26,2,"2",3,"Scorer2",24,0.00126518307229234
"139",22,26,2,"2",4,"Scorer2",25,0.000509536247867436
"140",22,26,2,"2",5,"Scorer2",24,-5.37751166257081e-06
"141",24,25,3,"2",1,"Scorer2",14,-0.00254160789052921
"142",24,25,3,"2",2,"Scorer2",23,-0.00152896132633516
"143",24,25,3,"2",3,"Scorer2",23,0.00105047949521672
"144",24,25,3,"2",4,"Scorer2",29,0.00174052226508271
"145",24,25,3,"2",5,"Scorer2",24,0.000850372851214278
"146",26,22,1,"2",1,"Scorer2",12,-0.000638905261503378
"147",26,22,1,"2",2,"Scorer2",25,9.24911496396749e-05
"148",26,22,1,"2",3,"Scorer2",22,0.000563949564884651
"149",26,22,1,"2",4,"Scorer2",24,-0.000409321045455754
"150",26,22,1,"2",5,"Scorer2",25,0.000781027957290618
