,X,Subject,Age,Year,Sex,Session,Scorer,Task,Scores,Mean_Perspiration,Normalised_PP
134,134,21,22,1,Female,Session4,Scorer1,Suturing,24,0.004036705,0.011592471
135,135,21,22,1,Female,Session5,Scorer1,Suturing,25,0.005111483,0.012667249
136,136,22,26,2,Female,Session1,Scorer1,Suturing,16,0.00376329,0.011319056
137,137,22,26,2,Female,Session2,Scorer1,Suturing,23,0.002940349,0.010496115
138,138,22,26,2,Female,Session3,Scorer1,Suturing,23,0.001118991,0.008674756
139,139,22,26,2,Female,Session4,Scorer1,Suturing,24,0.001095778,0.008651544
140,140,22,26,2,Female,Session5,Scorer1,Suturing,26,0.000767989,0.008323755
141,141,24,25,3,Female,Session1,Scorer1,Suturing,21,-0.002538857,0.005016909
142,142,24,25,3,Female,Session2,Scorer1,Suturing,22,-0.001865391,0.005690375
143,143,24,25,3,Female,Session3,Scorer1,Suturing,24,0.001526848,0.009082614
144,144,24,25,3,Female,Session4,Scorer1,Suturing,23,0.00264187,0.010197636
145,145,24,25,3,Female,Session5,Scorer1,Suturing,23,7.93638E-05,0.00763513
146,146,26,22,1,Female,Session1,Scorer1,Suturing,15,-0.000367012,0.007188754
147,147,26,22,1,Female,Session2,Scorer1,Suturing,24,0.000613241,0.008169007
148,148,26,22,1,Female,Session3,Scorer1,Suturing,23,0.000512593,0.008068359
149,149,26,22,1,Female,Session4,Scorer1,Suturing,25,-0.000114624,0.007441141
150,150,26,22,1,Female,Session5,Scorer1,Suturing,27,0.000697178,0.008252944
151,151,1,22,1,Male,Session1,Scorer2,Cutting,20,-1.59794E-05,0.007539787
152,152,1,22,1,Male,Session2,Scorer2,Cutting,18,0.001147167,0.008702933
153,153,1,22,1,Male,Session3,Scorer2,Cutting,23,-0.000858981,0.006696785
154,154,1,22,1,Male,Session4,Scorer2,Cutting,23,NA,NA
155,155,1,22,1,Male,Session5,Scorer2,Cutting,23,NA,NA
156,156,2,23,1,Male,Session1,Scorer2,Cutting,19,-0.005921682,0.001634084
157,157,2,23,1,Male,Session2,Scorer2,Cutting,20,-0.006055766,0.0015
158,158,2,23,1,Male,Session3,Scorer2,Cutting,23,0.001058339,0.008614105
159,159,2,23,1,Male,Session4,Scorer2,Cutting,21,6.71667E-05,0.007622933
160,160,2,23,1,Male,Session5,Scorer2,Cutting,22,-0.000573203,0.006982563
161,161,3,23,1,Male,Session1,Scorer2,Cutting,17,-0.001787928,0.005767838
162,162,3,23,1,Male,Session2,Scorer2,Cutting,23,NA,NA
163,163,3,23,1,Male,Session3,Scorer2,Cutting,26,8.62092E-05,0.007641975
164,164,3,23,1,Male,Session4,Scorer2,Cutting,25,0.002987119,0.010542885
165,165,3,23,1,Male,Session5,Scorer2,Cutting,24,0.000534693,0.008090459
166,166,4,23,1,Male,Session1,Scorer2,Cutting,12,0.000156012,0.007711778
167,167,4,23,1,Male,Session2,Scorer2,Cutting,12,0.000615403,0.008171168
168,168,4,23,1,Male,Session3,Scorer2,Cutting,14,0.000118416,0.007674182
169,169,4,23,1,Male,Session4,Scorer2,Cutting,15,9.15649E-05,0.007647331
170,170,4,23,1,Male,Session5,Scorer2,Cutting,19,0.000641786,0.008197552
171,171,7,25,3,Male,Session1,Scorer2,Cutting,25,-0.001695923,0.005859843
172,172,7,25,3,Male,Session2,Scorer2,Cutting,24,0.000567953,0.008123719
173,173,7,25,3,Male,Session3,Scorer2,Cutting,28,0.000727105,0.008282871
174,174,7,25,3,Male,Session4,Scorer2,Cutting,27,-0.002204906,0.00535086
175,175,7,25,3,Male,Session5,Scorer2,Cutting,23,0.000231966,0.007787732
176,176,8,22,1,Male,Session1,Scorer2,Cutting,21,NA,NA
177,177,8,22,1,Male,Session2,Scorer2,Cutting,20,-0.002510187,0.005045579
178,178,8,22,1,Male,Session3,Scorer2,Cutting,25,-0.002167739,0.005388027
179,179,8,22,1,Male,Session4,Scorer2,Cutting,25,0.000215657,0.007771423
180,180,8,22,1,Male,Session5,Scorer2,Cutting,25,-0.000212902,0.007342864
181,181,10,24,2,Male,Session1,Scorer2,Cutting,13,-0.001006518,0.006549248
182,182,10,24,2,Male,Session2,Scorer2,Cutting,17,NA,NA
183,183,10,24,2,Male,Session3,Scorer2,Cutting,19,0.00131314,0.008868906
184,184,10,24,2,Male,Session4,Scorer2,Cutting,24,0.000375303,0.007931069
